X,Y,Curve
734348.5178,3007106.367,0
734338.7087,3007105.261,0
734328.8503,3007104.149,0
734319.0532,3007102.774,0
734309.1026,3007101.29,0
734299.332,3007099.832,0
734289.4078,3007098.626,0
734279.4936,3007097.522,0
734269.6111,3007096.423,0
734259.7102,3007095.195,0
734249.9824,3007093.935,0
734239.9598,3007092.639,0
734230.1724,3007091.279,0
734220.3856,3007089.888,0
734210.3911,3007088.468,0
734200.7448,3007087.147,0
734190.9817,3007085.812,0
734181.3186,3007084.486,0
734171.4843,3007083.089,0
734161.5916,3007081.683,0
734151.8637,3007080.271,0
734141.9673,3007078.752,0
734132.2162,3007077.254,0
734122.4152,3007075.769,0
734112.5871,3007074.308,0
734102.8608,3007072.863,0
734092.9758,3007071.419,0
734083.2209,3007070.016,0
734073.3958,3007068.603,0
734063.5226,3007067.222,0
734053.731,3007065.872,0
734043.9078,3007064.518,0
734034.1562,3007063.043,0
734024.286,3007061.497,0
734014.5128,3007059.965,0
734004.7506,3007058.423,0
733994.8323,3007056.851,0
733985.1374,3007055.314,0
733975.256,3007053.783,0
733965.4692,3007052.288,0
733955.6496,3007050.79,0
733945.7217,3007049.364,0
733935.9561,3007048.054,0
733925.9927,3007046.718,0
733916.2337,3007045.43,0
733906.4838,3007044.182,0
733896.6745,3007042.927,0
733886.9403,3007041.639,0
733876.975,3007040.19,0
733867.163,3007038.764,0
733857.2184,3007037.327,0
733847.3935,3007035.953,0
733837.6131,3007034.588,0
733827.6459,3007033.194,0
733817.9053,3007031.817,0
733807.9848,3007030.415,0
733798.1137,3007029.023,0
733788.3054,3007027.665,0
733778.326,3007026.284,0
733768.4751,3007024.92,0
733758.6464,3007023.54,0
733748.8968,3007022.171,0
733739.1046,3007020.8,0
733729.1757,3007019.474,0
733719.3912,3007018.167,0
733709.4087,3007016.842,0
733699.6884,3007015.604,0
733689.9116,3007014.359,0
733680.0495,3007013.067,0
733670.3698,3007011.671,0
733660.4775,3007010.244,0
733650.6925,3007008.859,0
733640.8204,3007007.517,0
733630.8969,3007006.167,0
733621.0511,3007004.848,0
733611.0833,3007003.536,0
733601.2035,3007002.235,0
733591.3488,3007000.918,0
733581.5763,3006999.602,0
733571.7336,3006998.279,0
733561.8733,3006997.156,0
733552.071,3006996.053,0
733542.0898,3006994.871,0
733532.2635,3006993.575,0
733522.081,3006992.231,1
733512.1159,3006990.565,0
733502.3001,3006988.862,0
733492.3257,3006987.32,0
733482.6093,3006985.974,1
733472.9726,3006984.663,0
733463.0745,3006983.439,0
733453.4019,3006982.245,0
733443.5085,3006980.926,0
733433.7534,3006979.58,0
733424.0288,3006978.251,0
733414.2084,3006977.008,0
733404.5749,3006975.789,0
733394.8205,3006974.566,0
733385.1737,3006973.369,0
733375.4715,3006972.165,0
733365.6619,3006970.822,0
733355.9103,3006969.446,0
